,Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month,License Type,Installation Date,County
179,805641,,0,0.0,0.0,0.0,31,31,100.0,1401/02,خدمات,1403/01/26,نیشابور
180,602411,2.03,0,0.0,277.6,260.438,31,31,100.0,1401/02,شرب و بهداشت دام,1400/08/18,خواف
181,805327,1.93,0,0.0,199.8,95.056,31,31,100.0,1401/02,کشاورزی,1400/07/20,نیشابور
182,301144,15.07,0,0.0,559.6,13139.16,31,31,100.0,1401/02,کشاورزی,1400/03/26,تربت حیدریه
183,515877,,0,0.0,0.0,0.0,31,31,100.0,1401/02,شرب و بهداشت دام,1400/08/04,مشهد
184,603015,29.28,0,0.0,653.8,66502.4,31,31,100.0,1401/02,کشاورزی,1400/09/08,تربت حیدریه
185,804926,,0,0.0,0.0,0.0,31,31,100.0,1401/02,,,
186,201412,0.45,0,0.0,105.1,104.099,7,31,22.58,1401/02,کشاورزی,1401/06/18,قوچان
187,515534,,0,0.0,0.0,0.0,31,31,100.0,1401/02,شرب و بهداشت دام,1400/05/03,مشهد
188,122041,,0,0.0,0.0,76.3,31,31,100.0,1401/02,کشاورزی,1399/11/23,نیشابور
189,601523,,0,0.0,1.3,10.799,31,31,100.0,1401/02,صنعتی,1400/03/11,تربت حیدریه
190,806526,,0,0.0,0.0,0.0,31,31,100.0,1401/02,,,
191,603280,28.91,0,0.0,302.5,33105.62,31,31,100.0,1401/02,کشاورزی,1401/02/02,تربت حیدریه
192,517826,,0,0.0,0.0,18.4,31,31,100.0,1401/02,کشاورزی,1399/10/08,مشهد
193,529041,11.9,0,0.0,546.2,34.59,8,31,25.81,1401/02,کشاورزی,1400/09/03,مشهد
194,514339,,0,0.0,0.0,0.0,31,31,100.0,1401/02,کشاورزی,1401/08/19,مشهد
195,622492,6.7,0,0.0,45.3,1060.862,31,31,100.0,1401/02,کشاورزی,1401/02/26,کاشمر
196,603124,,0,0.0,0.0,0.0,5,31,16.13,1401/02,کشاورزی,1401/03/18,تربت حیدریه
197,911318,3.55,0,0.0,64.9,284.612,31,31,100.0,1401/02,خدمات,1401/01/26,تربت جام
198,514618,,0,0.0,148.6,0.149,31,31,100.0,1401/02,خدمات,1400/09/30,مشهد
199,529044,,0,0.0,0.0,0.0,5,31,16.13,1401/02,کشاورزی,1401/05/06,مشهد
200,529104,,0,0.0,0.0,0.0,6,31,19.35,1401/02,کشاورزی,1401/08/07,مشهد
201,102539,3.5,0,0.0,3.7,46.488,31,31,100.0,1401/02,کشاورزی,1401/02/18,سبزوار
202,618327,0.53,0,0.0,221.4,253.631,31,31,100.0,1401/02,شرب و بهداشت دام,1401/02/25,کاشمر
203,601055,2.8,0,0.0,39.0,771.839,31,31,100.0,1401/02,صنعتی,1400/01/31,تربت حیدریه
204,529259,,0,0.0,0.0,0.0,31,31,100.0,1401/02,کشاورزی,1401/08/23,مشهد
205,107064,,0,0.0,0.0,1.358,1,31,3.23,1401/02,کشاورزی,1401/03/29,نیشابور
206,516155,3.6,0,0.0,665.4,107.036,31,31,100.0,1401/02,سایر,1399/07/22,مشهد
207,911654,,0,0.0,0.0,0.0,31,31,100.0,1401/02,صنعتی,1402/01/27,تربت جام
208,804572,0.4,0,0.0,691.7,995.5,31,31,100.0,1401/02,کشاورزی,1399/11/19,مشهد
209,514155,,0,0.0,125.8,3481.11,31,31,100.0,1401/02,کشاورزی,1399/06/21,مشهد
210,603396,,0,0.0,0.0,0.0,31,31,100.0,1401/02,کشاورزی,1401/03/18,تربت حیدریه
211,911500,,0,0.0,0.0,0.0,31,31,100.0,1401/02,شرب و بهداشت دام,1399/10/12,تربت جام
212,912936,1.05,0,0.0,187.8,23.552,31,31,100.0,1401/02,شرب و بهداشت دام,1399/05/20,تایباد
213,515395,3.33,0,0.0,618.4,2948.738,31,31,100.0,1401/02,کشاورزی,1401/02/21,مشهد
214,529092,,0,0.0,549.8,12227.3,31,31,100.0,1401/02,کشاورزی,1399/11/20,مشهد
215,805635,14.63,0,0.0,510.8,23536.94,31,31,100.0,1401/02,کشاورزی,1399/07/15,مشهد
216,529080,,0,0.0,0.1,2.931,31,31,100.0,1401/02,کشاورزی,1401/02/22,مشهد
217,529050,27.73,0,0.0,322.4,32264.48,14,31,45.16,1401/02,کشاورزی,1399/02/06,مشهد
218,514495,,0,0.0,0.0,0.0,31,31,100.0,1401/02,کشاورزی,1401/08/04,مشهد
219,603030,27.24,0,0.0,737.2,29794.82,31,31,100.0,1401/02,,,
220,529065,,0,0.0,0.0,138.5,31,31,100.0,1401/02,کشاورزی,1399/10/10,مشهد
221,516824,,0,0.0,0.0,0.0,31,31,100.0,1401/02,کشاورزی,1400/06/16,مشهد
222,529040,,0,0.0,0.0,62.583,1,31,3.23,1401/02,کشاورزی,1401/03/31,مشهد
223,910765,4.76,0,0.0,201.7,401.745,31,31,100.0,1401/02,صنعتی,1399/08/22,تربت جام
224,519664,,0,0.0,0.0,0.0,31,31,100.0,1401/02,شرب و بهداشت دام,1399/05/27,مشهد
225,805671,1.44,0,0.0,700.8,63.55,31,31,100.0,1401/02,کشاورزی,1400/04/19,نیشابور
226,302038,,0,0.0,0.5,1.55,31,31,100.0,1401/02,,,
227,529336,,0,0.0,0.0,1.789,22,31,70.97,1401/02,کشاورزی,1399/03/06,مشهد
228,805123,1.69,0,0.0,518.3,311.263,31,31,100.0,1401/02,صنعتی,1401/02/06,نیشابور
229,302373,,0,0.0,0.0,0.904,10,31,32.26,1401/02,شرب و بهداشت دام,1401/03/23,گناباد
230,615274,2.53,0,0.0,267.5,112.413,31,31,100.0,1401/02,,,
231,604060,,0,0.0,0.0,0.0,5,31,16.13,1401/02,کشاورزی,1401/03/01,تربت حیدریه
232,603229,2.12,0,0.0,20.2,160.188,31,31,100.0,1401/02,کشاورزی,1401/02/15,تربت حیدریه
233,806053,3.09,0,0.0,288.7,3013.777,31,31,100.0,1401/02,خدمات,1401/02/07,مشهد
234,910367,7.9,0,0.0,614.5,46.75,31,31,100.0,1401/02,,,
235,603076,26.62,0,0.0,170.1,19823.854,31,31,100.0,1401/02,کشاورزی,1400/11/05,تربت حیدریه
236,518159,2.8,0,0.0,0.2,2.299,24,31,77.42,1401/02,خدمات,1401/02/31,مشهد
237,102137,,0,0.0,0.0,0.0,31,31,100.0,1401/02,خدمات,1400/03/04,سبزوار
238,529081,21.62,0,0.0,107.8,8463.249,31,31,100.0,1401/02,کشاورزی,1399/09/07,مشهد
239,519327,1.0,0,0.0,45.8,207.886,31,31,100.0,1401/02,صنعتی,1401/02/29,مشهد
240,102251,,0,0.0,0.0,0.0,31,31,100.0,1401/02,کشاورزی,1401/11/10,سبزوار
241,601207,,0,0.0,0.0,0.0,5,31,16.13,1401/02,شرب و بهداشت دام,1401/02/27,تربت حیدریه
242,806478,0.62,0,0.0,53.3,134.296,24,31,77.42,1401/02,,,
243,529022,,0,0.0,0.0,3.286,1,31,3.23,1401/02,کشاورزی,1401/07/02,مشهد
244,100168,,0,0.0,0.0,0.0,5,31,16.13,1401/02,خدمات,1401/03/05,سبزوار
245,525966,,0,0.0,0.0,0.0,31,31,100.0,1401/02,خدمات,1400/07/25,مشهد
246,805879,,0,0.0,0.0,0.0,31,31,100.0,1401/02,شرب و بهداشت دام,1400/09/29,نیشابور
247,515437,,0,0.0,0.0,0.0,31,31,100.0,1401/02,کشاورزی,1401/03/09,مشهد
